## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	37581                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	175
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(96;54)
## Calibration Point 2:	Position(1824;54)
## Calibration Point 3:	Position(96;1026)
## Calibration Point 4:	Position(1824;1026)
## Calibration Point 5:	Position(96;540)
## Calibration Point 6:	Position(960;54)
## Calibration Point 7:	Position(1824;540)
## Calibration Point 8:	Position(960;1026)
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
2837507798	SMP	1	743.41	539.42	461.25	512.52	15.72	15.72	4.08	16.99	16.99	4.42	739.36	541.39	744.42	541.38	459.79	514.43	464.90	514.44	864.54	911.27	864.54	911.27	0	1	1	2	-1	-1	-27.07	-7.90	628.76	46.87	-0.78	629.23	-0.04	0.12	-0.99	-0.01	0.10	-0.99		
2837511799	SMP	1	743.33	539.48	461.32	512.56	15.85	15.85	4.09	16.99	16.99	4.42	739.36	541.39	744.41	541.38	459.81	514.45	464.92	514.45	864.83	913.17	864.83	913.17	0	1	1	2	-1	-1	-27.07	-7.90	628.73	46.82	-0.78	628.68	-0.04	0.12	-0.99	-0.02	0.10	-0.99	 -1	
2837515800	SMP	1	743.36	539.41	461.28	512.52	15.87	15.87	4.09	16.98	16.98	4.41	739.37	541.40	744.42	541.40	459.82	514.47	464.93	514.47	865.12	913.10	865.12	913.10	0	1	1	2	-1	-1	-27.07	-7.91	628.71	46.79	-0.79	628.23	-0.04	0.12	-0.99	-0.01	0.11	-0.99	 -1	
2837519801	SMP	1	743.36	539.43	461.24	512.52	15.94	15.94	4.10	16.96	16.96	4.41	739.40	541.41	744.43	541.41	459.84	514.49	464.95	514.47	866.14	913.52	866.14	913.52	0	1	1	2	-1	-1	-27.08	-7.91	628.86	46.75	-0.79	627.80	-0.04	0.12	-0.99	-0.01	0.11	-0.99	 -1	
2837523802	SMP	1	743.41	539.45	461.28	512.53	15.88	15.88	4.10	17.00	17.00	4.41	739.41	541.39	744.43	541.40	459.84	514.49	464.95	514.47	865.79	915.05	865.79	915.05	0	1	1	2	-1	-1	-27.09	-7.91	629.08	46.73	-0.79	627.45	-0.04	0.12	-0.99	-0.01	0.11	-0.99	 -1	
2837527803	SMP	1	743.39	539.47	461.31	512.60	15.90	15.90	4.10	17.04	17.04	4.41	739.40	541.37	744.42	541.37	459.82	514.46	464.98	514.46	865.90	917.05	865.90	917.05	0	1	1	2	-1	-1	-27.10	-7.90	629.26	46.68	-0.78	626.85	-0.04	0.12	-0.99	-0.01	0.10	-0.99	 -1	
2837531805	SMP	1	743.42	539.33	461.31	512.57	15.90	15.90	4.10	16.98	16.98	4.40	739.40	541.36	744.42	541.35	459.81	514.45	464.97	514.44	865.76	917.20	865.76	917.20	0	1	1	2	-1	-1	-27.11	-7.90	629.47	46.64	-0.78	626.28	-0.04	0.12	-0.99	-0.02	0.10	-0.99	 -1	
2837535806	SMP	1	743.35	539.30	461.29	512.50	15.80	15.80	4.10	16.98	16.98	4.40	739.42	541.34	744.41	541.33	459.81	514.43	464.96	514.42	866.36	917.26	866.36	917.26	0	1	1	2	-1	-1	-27.12	-7.90	629.79	46.61	-0.77	625.83	-0.04	0.12	-0.99	-0.01	0.10	-0.99	 -1	
2837539807	SMP	1	743.37	539.28	461.25	512.48	15.82	15.82	4.10	16.98	16.98	4.39	739.41	541.32	744.41	541.30	459.85	514.40	464.97	514.40	867.15	917.52	867.15	917.52	0	1	1	2	-1	-1	-27.13	-7.90	630.05	46.59	-0.76	625.70	-0.04	0.12	-0.99	-0.01	0.10	-0.99	 -1	
2837543808	SMP	1	743.36	539.26	461.27	512.45	15.93	15.93	4.11	17.05	17.05	4.39	739.43	541.27	744.39	541.27	459.86	514.38	464.94	514.37	867.61	918.03	867.61	918.03	0	1	1	2	-1	-1	-27.15	-7.89	630.50	46.60	-0.76	625.80	-0.04	0.12	-0.99	-0.01	0.10	-0.99	 -1	
2837547809	SMP	1	743.39	539.18	461.26	512.37	15.80	15.80	4.11	17.05	17.05	4.39	739.44	541.20	744.38	541.22	459.91	514.33	464.96	514.34	867.69	917.26	867.69	917.26	0	1	1	2	-1	-1	-27.18	-7.89	631.12	46.61	-0.75	626.08	-0.04	0.12	-0.99	-0.01	0.11	-0.99	 -1	
2837551810	SMP	1	743.43	539.20	461.31	512.38	15.80	15.80	4.11	17.04	17.04	4.39	739.45	541.13	744.35	541.11	459.94	514.28	464.94	514.30	867.56	918.02	867.56	918.02	0	1	1	2	-1	-1	-27.21	-7.87	631.97	46.66	-0.74	626.73	-0.04	0.12	-0.99	-0.01	0.10	-0.99	 -1	
2837555811	SMP	1	743.34	539.08	461.28	512.28	15.90	15.90	4.11	17.10	17.10	4.40	739.46	541.02	744.34	541.08	459.96	514.24	464.94	514.27	868.64	916.60	868.64	916.60	0	1	1	2	-1	-1	-27.25	-7.86	632.84	46.71	-0.73	627.38	-0.04	0.12	-0.99	-0.01	0.11	-0.99	 -1	
2837559812	SMP	1	743.38	539.06	461.25	512.25	15.87	15.87	4.12	17.02	17.02	4.40	739.44	540.93	744.34	541.05	459.98	514.19	464.89	514.25	868.99	916.73	868.99	916.73	0	1	1	2	-1	-1	-27.27	-7.86	633.50	46.79	-0.72	628.48	-0.04	0.12	-0.99	-0.01	0.11	-0.99	 -1	
2837563815	SMP	1	743.36	539.03	461.27	512.15	15.83	15.83	4.12	17.02	17.02	4.40	739.44	540.86	744.32	541.01	459.99	514.16	464.91	514.23	869.01	916.28	869.01	916.28	0	1	1	2	-1	-1	-27.30	-7.85	634.16	46.85	-0.71	629.35	-0.04	0.12	-0.99	-0.01	0.11	-0.99	 -1	
2837567819	SMP	1	743.38	539.00	461.28	512.13	15.90	15.90	4.12	17.03	17.03	4.41	739.37	540.74	744.33	540.98	460.00	514.12	464.88	514.21	868.88	915.96	868.88	915.96	0	1	1	2	-1	-1	-27.30	-7.83	634.23	46.94	-0.71	630.43	-0.04	0.11	-0.99	-0.01	0.11	-0.99	 -1	
3020539278	MSG	1	# Message: instruction_calibration.jpg
3020543217	SMP	1	840.77	528.13	538.57	475.36	15.14	15.14	3.68	15.78	15.78	3.77	834.34	532.41	840.07	532.47	534.90	480.02	540.76	479.98	552.02	570.92	552.02	570.92	0	1	1	2	-1	-1	-49.11	-5.20	590.80	24.97	7.74	584.05	-0.10	0.23	-0.97	-0.08	0.22	-0.97	 -1	
3020547210	SMP	1	840.62	527.99	538.43	475.27	15.11	15.11	3.68	15.60	15.60	3.77	834.28	532.40	840.06	532.46	534.82	480.00	540.72	479.96	558.20	570.48	558.20	570.48	0	1	1	2	-1	-1	-49.07	-5.20	590.41	24.97	7.74	583.81	-0.09	0.23	-0.97	-0.07	0.22	-0.97	 -1	
