## [iView]
## Converted from: 	 ###
## Date: 	 ###
## Version:	IDF Converter 3.0.20
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Unknown
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	31042                                                                                                                                                                                                                                                           
## Reversed:	none
## [Run]
## Subject: 	191
## Description:	                                                                                                                                                                                                                                                                
## [Calibration]
## Calibration Area:	1920	1080
## [Geometry]
## Stimulus Dimension [mm]:	344	194
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID: 	 ###
## Operating System :	6.2.9200
## iView X Version:	4.2.0.0
## [Filter Settings]
## Heuristic:	False
## Heuristic Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, RAW, DIAMETER, CR, POR, QUALITY, PLANE, EYEPOSITION, GAZEVECTOR, MSG, FRAMECOUNTER
## 
Time	Type	Trial	L Raw X [px]	L Raw Y [px]	R Raw X [px]	R Raw Y [px]	L Dia X [px]	L Dia Y [px]	L Mapped Diameter [mm]	R Dia X [px]	R Dia Y [px]	R Mapped Diameter [mm]	L CR1 X [px]	L CR1 Y [px]	L CR2 X [px]	L CR2 Y [px]	R CR1 X [px]	R CR1 Y [px]	R CR2 X [px]	R CR2 Y [px]	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	Timing	L Validity	R Validity	Pupil Confidence	L Plane	R Plane	L EPOS X	L EPOS Y	L EPOS Z	R EPOS X	R EPOS Y	R EPOS Z	L GVEC X	L GVEC Y	L GVEC Z	R GVEC X	R GVEC Y	R GVEC Z	Frame	Aux1
406723047	SMP	1	767.73	475.53	476.52	514.29	13.76	13.76	3.26	14.73	14.73	3.37	762.52	477.38	768.56	477.17	475.77	515.87	482.11	515.90	976.48	950.17	976.48	950.17	0	1	1	2	-1	-1	-30.32	8.23	572.15	37.77	-1.03	559.51	-0.06	0.07	-1.00	0.05	0.08	-1.00		
406727089	SMP	1	767.72	475.57	476.50	514.30	13.88	13.88	3.26	14.65	14.65	3.37	762.48	477.26	768.53	477.17	475.78	515.87	482.11	515.88	976.27	950.14	976.27	950.14	0	1	1	2	-1	-1	-30.33	8.25	572.45	37.79	-1.03	559.75	-0.06	0.07	-1.00	0.05	0.08	-1.00		
406731132	SMP	1	767.71	475.58	476.52	514.30	13.91	13.91	3.26	14.64	14.64	3.37	762.46	477.25	768.51	477.16	475.79	515.87	482.13	515.87	975.23	950.10	975.23	950.10	0	1	1	2	-1	-1	-30.34	8.26	572.69	37.79	-1.03	559.89	-0.06	0.07	-1.00	0.05	0.08	-1.00	 -1	
406735174	SMP	1	767.63	475.55	476.56	514.27	13.89	13.89	3.26	14.69	14.69	3.37	762.41	477.29	768.49	477.17	475.79	515.86	482.13	515.83	974.24	949.02	974.24	949.02	0	1	1	2	-1	-1	-30.33	8.25	572.75	37.80	-1.02	560.04	-0.05	0.07	-1.00	0.05	0.08	-1.00	 -1	
406739216	SMP	1	767.49	475.68	476.49	514.19	14.07	14.07	3.27	14.67	14.67	3.37	762.39	477.31	768.48	477.17	475.78	515.86	482.12	515.80	975.07	949.40	975.07	949.40	0	1	1	2	-1	-1	-30.33	8.25	572.80	37.81	-1.02	560.16	-0.05	0.06	-1.00	0.05	0.08	-1.00	 -1	
406743258	SMP	1	767.49	475.63	476.56	514.28	14.04	14.04	3.28	14.61	14.61	3.37	762.39	477.31	768.45	477.17	475.78	515.85	482.11	515.80	974.73	949.29	974.73	949.29	0	1	1	2	-1	-1	-30.33	8.26	572.97	37.82	-1.02	560.31	-0.05	0.06	-1.00	0.05	0.08	-1.00	 -1	
406747301	SMP	1	767.55	475.68	476.52	514.24	13.87	13.87	3.28	14.71	14.71	3.38	762.38	477.35	768.42	477.21	475.77	515.85	482.12	515.80	974.04	949.72	974.04	949.72	0	1	1	2	-1	-1	-30.34	8.25	573.22	37.83	-1.02	560.35	-0.05	0.06	-1.00	0.05	0.08	-1.00	 -1	
406751343	SMP	1	767.42	475.69	476.47	514.17	14.06	14.06	3.29	14.69	14.69	3.38	762.34	477.36	768.38	477.23	475.76	515.85	482.10	515.79	975.49	949.88	975.49	949.88	0	1	1	2	-1	-1	-30.34	8.25	573.39	37.84	-1.02	560.45	-0.05	0.06	-1.00	0.05	0.08	-1.00	 -1	
406755385	SMP	1	767.40	475.74	476.48	514.24	14.04	14.04	3.29	14.58	14.58	3.38	762.28	477.37	768.35	477.29	475.77	515.86	482.09	515.82	975.83	949.84	975.83	949.84	0	1	1	2	-1	-1	-30.33	8.24	573.38	37.85	-1.02	560.61	-0.05	0.06	-1.00	0.05	0.08	-1.00	 -1	
406759428	SMP	1	767.43	475.87	476.41	514.28	13.83	13.83	3.28	14.75	14.75	3.38	762.18	477.43	768.31	477.32	475.77	515.86	482.08	515.83	975.95	951.64	975.95	951.64	0	1	1	2	-1	-1	-30.30	8.23	573.11	37.86	-1.03	560.83	-0.06	0.06	-1.00	0.05	0.08	-1.00	 -1	
