participant_id,gender,timestamp,aoi_name,duration,aoi_token
1,male,1146694752,line 1,60,public class Rectangle {
1,male,1146830788,line 1,132,public class Rectangle {
1,male,1147338871,line 2,64,"private int x1 , y1 , x2 , y2 ;"
1,male,1147478860,line 2,136,"private int x1 , y1 , x2 , y2 ;"
1,male,1147642870,line 3,128,"public Rectangle ( int x1 , int y1 , int x2 , int y2 ) {"
1,male,1147738872,line 4,56,this.x1 = x1 ;
1,male,1147806895,line 3,64,"public Rectangle ( int x1 , int y1 , int x2 , int y2 ) {"
1,male,1147942947,line 3,132,"public Rectangle ( int x1 , int y1 , int x2 , int y2 ) {"
1,male,1148358687,line 4,68,this.x1 = x1 ;
1,male,1149598754,line 6,196,this.x2 = x2 ;
1,male,1150322726,line 9,60,public int width ( ) { return this.x2 - this.x1 ; }
1,male,1150938608,line 9,64,public int width ( ) { return this.x2 - this.x1 ; }
1,male,1151310562,line 11,64,public double area ( ) { return this.width ( ) * this.height ( ) ; }
1,male,1153882370,line 10,124,public int height ( ) { return this.y2 - this.y1 ; }
1,male,1155844399,line 11,56,public double area ( ) { return this.width ( ) * this.height ( ) ; }
1,male,1165891924,line 14,72,System.out.println ( rect1.area ( ) ) ;
1,male,1166723686,line 15,72,"Rectangle rect2 = new Rectangle ( 5 , 5 , 10 , 10 ) ;"
1,male,1169819528,line 16,64,System.out.println ( rect2.area ( ) ) ;
1,male,1174971084,line 15,56,"Rectangle rect2 = new Rectangle ( 5 , 5 , 10 , 10 ) ;"
1,male,1175059139,line 15,84,"Rectangle rect2 = new Rectangle ( 5 , 5 , 10 , 10 ) ;"
1,male,1175263138,line 14,96,System.out.println ( rect1.area ( ) ) ;
2,male,15539035998,line 1,64,public class Rectangle {
2,male,15540503808,line 3,56,"public Rectangle ( int x1 , int y1 , int x2 , int y2 ) {"
2,male,15540819891,line 2,68,"private int x1 , y1 , x2 , y2 ;"
2,male,15542535767,line 2,76,"private int x1 , y1 , x2 , y2 ;"
2,male,15543155775,line 2,64,"private int x1 , y1 , x2 , y2 ;"
2,male,15543455711,line 3,64,"public Rectangle ( int x1 , int y1 , int x2 , int y2 ) {"
2,male,15543615780,line 3,68,"public Rectangle ( int x1 , int y1 , int x2 , int y2 ) {"
2,male,15543683769,line 3,64,"public Rectangle ( int x1 , int y1 , int x2 , int y2 ) {"
2,male,15548631306,line 5,72,this.y1 = y1 ;
