participant_id,gender,timestamp,aoi_name,duration,aoi_token
1,male,1020767309,line 7,84,this.topSpeed = tp ;
1,male,1020867339,line 6,96,this.type = t ;
1,male,1023355043,line 1,60,public class Vehicle {
1,male,1023467040,line 1,108,public class Vehicle {
1,male,1024710911,line 1,96,public class Vehicle {
1,male,1024818917,line 1,104,public class Vehicle {
1,male,1025130969,line 1,72,public class Vehicle {
1,male,1025358970,line 2,76,"String producer , type ;"
1,male,1025426988,line 2,64,"String producer , type ;"
1,male,1025506932,line 2,76,"String producer , type ;"
1,male,1025922763,line 2,72,"String producer , type ;"
1,male,1025994771,line 2,68,"String producer , type ;"
1,male,1026366836,line 3,72,"int topSpeed , currentSpeed ;"
1,male,1026554867,line 3,184,"int topSpeed , currentSpeed ;"
1,male,1028206661,line 4,140,"public Vehicle ( String p , String t , int tp ) {"
1,male,1028818715,line 3,92,"int topSpeed , currentSpeed ;"
1,male,1028942643,line 3,120,"int topSpeed , currentSpeed ;"
1,male,1029382519,line 4,84,"public Vehicle ( String p , String t , int tp ) {"
1,male,1029570527,line 4,128,"public Vehicle ( String p , String t , int tp ) {"
1,male,1030286521,line 5,132,this.producer = p ;
1,male,1030470518,line 5,180,this.producer = p ;
1,male,1031330449,line 8,68,this.currentSpeed = 0 ;
1,male,1031470421,line 7,112,this.topSpeed = tp ;
1,male,1031594431,line 7,120,this.topSpeed = tp ;
1,male,1034114203,line 10,68,public int accelerate ( int kmh ) {
1,male,1034270144,line 10,152,public int accelerate ( int kmh ) {
1,male,1034454144,line 10,56,public int accelerate ( int kmh ) {
1,male,1035022168,line 10,100,public int accelerate ( int kmh ) {
1,male,1036174043,line 11,64,if ( ( this.currentSpeed + kmh ) > this.topSpeed ) {
1,male,1036266043,line 11,88,if ( ( this.currentSpeed + kmh ) > this.topSpeed ) {
1,male,1036442033,line 10,68,public int accelerate ( int kmh ) {
1,male,1036846004,line 10,60,public int accelerate ( int kmh ) {
1,male,1036937961,line 10,88,public int accelerate ( int kmh ) {
1,male,1038313911,line 10,64,public int accelerate ( int kmh ) {
1,male,1038397724,line 10,80,public int accelerate ( int kmh ) {
1,male,1039381781,line 10,136,public int accelerate ( int kmh ) {
1,male,1039449782,line 10,64,public int accelerate ( int kmh ) {
1,male,1039813776,line 10,68,public int accelerate ( int kmh ) {
1,male,1039905778,line 10,80,public int accelerate ( int kmh ) {
1,male,1041969578,line 11,68,if ( ( this.currentSpeed + kmh ) > this.topSpeed ) {
1,male,1042481499,line 11,140,if ( ( this.currentSpeed + kmh ) > this.topSpeed ) {
1,male,1042621514,line 11,68,if ( ( this.currentSpeed + kmh ) > this.topSpeed ) {
1,male,1042693516,line 10,68,public int accelerate ( int kmh ) {
1,male,1042781500,line 10,76,public int accelerate ( int kmh ) {
1,male,1043269275,line 10,104,public int accelerate ( int kmh ) {
1,male,1043381310,line 11,108,if ( ( this.currentSpeed + kmh ) > this.topSpeed ) {
1,male,1044745180,line 10,100,public int accelerate ( int kmh ) {
1,male,1044905134,line 10,108,public int accelerate ( int kmh ) {
1,male,1046005236,line 10,92,public int accelerate ( int kmh ) {
1,male,1047573121,line 12,76,this.currentSpeed = this.topSpeed ;
1,male,1047685090,line 12,84,this.currentSpeed = this.topSpeed ;
1,male,1048697006,line 12,152,this.currentSpeed = this.topSpeed ;
1,male,1049388485,line 12,80,this.currentSpeed = this.topSpeed ;
1,male,1049524615,line 12,72,this.currentSpeed = this.topSpeed ;
1,male,1049680792,line 12,152,this.currentSpeed = this.topSpeed ;
1,male,1050456809,line 10,60,public int accelerate ( int kmh ) {
1,male,1050532828,line 10,72,public int accelerate ( int kmh ) {
1,male,1050648993,line 10,80,public int accelerate ( int kmh ) {
1,male,1050924887,line 10,160,public int accelerate ( int kmh ) {
1,male,1051068734,line 10,140,public int accelerate ( int kmh ) {
1,male,1053192290,line 11,112,if ( ( this.currentSpeed + kmh ) > this.topSpeed ) {
1,male,1053416482,line 11,172,if ( ( this.currentSpeed + kmh ) > this.topSpeed ) {
